"","V1","Abstract","Unnamed..0","Authors","Quantitative.Data","Theoretical.Model","Empirical.Model","COMMENT..we.also.need.a.column.indicating.if.degrowth.is.used.as.ex.ante.strategy..as.result..low.negative.growth.as.in.Japan..or.otherwise.confusingly.","Volume","Issue"
"6","6","It has become normative in organization and management studies literature to consider scaling as a synonym for organizational growth. Scaling is typically understood as scaling-up. This article demonstrates that, in the context of post-growth organizations, scaling involves a more complex set of dynamics. Directing scholarly attention to scaling in the context of Italian Social Agricultural Cooperatives (i.e. organizations that hold a different rationale and modus operandi from the capitalist enterprise), this research contributes to the literature on scaling the impact of post-growth organizations by identifying nine different scaling routes: organizational growth (vertical and horizontal); organizational downscaling; impact on policies; multiplication; impact on organizational culture; impact on societal culture; aggregation; and diffusion. This article demonstrates that post-growth scaling: (1) requires the synergistic interaction of different strategies; (2) focuses on impacting societal culture; (3) does not necessarily require organizational growth; and (4) is a relational process, embedded in socio-ecological systems. The typology presented in this article empowers post-growth organizations to become more aware of different available scaling routes, unlocking their transformative potential and supporting the transition towards a post-growth future, in which the goal of economics is the pursuit of human and ecological flourishing. ",6,"Colombo L.A., Bailey A.R., Gomes M.V.P.",0,0,0,"Qualitative case study of three Italian SACs, very vague, subjective analysis really ","",""
"25","25","In thinking about alternatives to growth-based development, we draw attention to Mediterranean islands and the way they animate imaginaries and practices of a simple life. We follow Franco Cassano's thesis of âSouthern thoughtâ â a critique of Western developmentalism, prioritizing instead values of slowness, moderation and conviviality. These values are central to what Serge Latouche and others call âdegrowthâ. Drawing on fieldwork and ethnography from Ikaria and Gavdos, two remote islands in the Greek archipelago, we show how Southern thought, and forms of real-existing degrowth develop in relation to âislandnessâ â a physical and cultural condition specific to small islands. Geography, historical contingency, and processes of myth-making combine to re-valorise what otherwise would be seen as âundevelopedâ places, thereby generating space for real-existing degrowth. ",25,"Kallis G., Varvarousis A., Petridis P.",0,0,0,"Shouldn't we classify this (and other studies) as qualitative data?","157",""
"33","33","Our case study draws on emerging ideas of degrowth, showing how degrowth values and strategies may emerge where cities rely heavily on global food systems, and contributes to literature on food for degrowth in local contexts. Degrowth rejects the imperative of economic growth as a primary indicator of social wellness. A holistic understanding of wellness prescribes radical societal transformation, downscaling and decreasing consumption, strengthening community relationships and promoting resilience. Building on Bloemmen et al. (2015), we apply a holistic model of degrowth in a small-scale context, embedded within larger capitalist economies, to examine degrowth opportunities and constraints in Edmonton, Canada. Emergent themes in interviews reveal opportunities and challenges for local food for degrowth, by altering local food supplies, reducing food waste and decreasing consumption. We explore the role of social relationships in food justice work, increasing food knowledge, and building capacity for local, sustainable food production.",33,"Rooney A., Vallianatos H.",0,0,0,"case study food/canada interviews","31","3"
"51","51","The hegemonic role of neoliberal ideas in todayâs political-economic thought and practice has shaped the common way of thinking about freedom in Western society and more generally in the international community. This involves a negative, individualistic and market-centred interpretation of the concept. In contrast, visions of a degrowth society offer a radical alternative based on Cornelius Castoriadisâ notion of individual and social autonomy. We present both positions and explain their differences. We then follow this up by reporting on a questionnaire conducted at the 2018 Degrowth Conference in MalmÃ¶, Sweden. This empirical study of the degrowth movement probes the extent to which advocates actually follow the Castoriadian as opposed to the hegemonic neoliberal theory. While participants were found to hold positions consistent with the Castoriadian theory, we also identify contradictory and under-conceptualised aspects in their understanding of freedom. This points to the need for the degrowth movement to directly address its theoretical foundations, and elaborate on and strengthen its vision of freedom compatible with a future degrowth society in order to avoid potential co-option and becoming sub-hegemonic.",51,"Windegger F., Spash C.L.",0,0,0,"Reports results questionnaire among participants degrowth conference; but what a bad presentation of the results","",""
"89","90","This paper focuses on the intersection between degrowth and urban planning and contributes to a deeper understanding and a sharper concretisation of how a strong sustainability concept such as degrowth can be taken into planning practice. Taking the Swedish municipality of SÃ¶dertÃ¤lje as a case, this paper uses empirical material from interviews with municipal urban planners and urban planning policy. The findings put current planning in relation to degrowth ideas, gather insights about the possible role of planning actors in a degrowth transition, and includes proposals for how planning practice can facilitate a degrowth future. This study finds that integrating a degrowth approach in planning practice means that urban planning needs to be subordinated to overarching social and environmental goals. Producing urban planning that is measured and conditioned by overarching goals would most likely imply completely different ways of planning, and goal-oriented backcasting scenarios are suggested as a tool to overcome this challenge. This paper also gathers strategies, like SÃ¶dertÃ¤ljeâs Cultivation Strategy, that can facilitate a degrowth transition within current planning practice.",90,"Ruiz-Alejos C., Prats V.",0,0,0,"Six interviews, but no quantitative data presented?","27","4"
"93","94","This article focuses on the potentials and barriers to the realisation of a degrowth scenario in housing development in the Oslo region. The point of departure is a previously designed radical degrowth scenario, which depicts a future housing development that is both environmentally sustainable and socially just. Through a gaming session with housing stakeholders in the Oslo region, I investigated the elements hindering or facilitating the degrowth scenario. This paper analyses the results of the gaming session using morphogenetic theory, theory of political economy of environmental sustainability and critical urban theory. The results of the gaming session reveal important structural hindrances to the scenario within the current housing model, which directly depends on the socio-economic structures of capitalism. The article promotes a debate concerning housing for degrowth and a reflection on the deep socio-economic conditions for degrowth transformation. ",94,"Mete S.",0,0,0,"Odd paper, with  some game, but unclear. No quantitative info. No shortage of ambitious language in this literature: """"""""This paper analyses the results of the gaming session using morphogenetic theory, theory of political economy of environmental sustainability and critical urban theory.""""""""","27","4"
"97","98","Limiting socio-spatial inequalities can be considered a decisive goal for a degrowth agenda. At different territorial scales, planning and housing policies have been crucial to achieve this goal, in terms of both reaching high environmental standards and framing the social reproduction of inequality. This article focuses on the implications, in terms of socio-spatial inequalities, of innovative housing solutions oriented to a degrowth agenda. It aims to answer to the following research questions: what are the socio-spatial implications of the most common innovative housing solutions that can best fulfil the degrowth principles/vision? How is it possible to ensure socio-spatial justice in housing projects inspired by a degrowth narrative? By analysing two cases of housing innovation in Vienna (qualitative analysis), we argue that many innovative housing projects, characterised by a degrowth narrative when it comes to the development of ecological and social practises, today show high level of elitism reproducing socio-spatial inequalities. However, we also argue that the role of local authorities can play a central role in up-scaling these housing innovations by ensuring higher level of inclusiveness.",98,"Cucca R., Friesenecker M.",0,0,0,"Qualitative analysis","27","4"
"104","105","The energy sector is at the center of the current economic system, and of literature and activism on degrowth, which questions the sustainability of current models of energy use. Local and small-scale energy systems may have the potential to reduce energy and resource consumption and to advance degrowth-related ideals of energy democracy, self-sufficiency, and local production. In the present paper we link a discussion on degrowth and local energy projects, using two case studies from southern European islands, El Hierro in Spain, and Tilos in Greece. These pioneer local energy initiatives have a complex ownership model that includes various public and private actors, and aspirations that go beyond merely electricity production to other economic and social goals. We look into the promise of these initiatives in transforming insular areas and promoting an alternative way of living, comparing attributes of the processes involved to four degrowth principles. We conclude that despite the degrowth potential of these local energy projects, their prospects are limited to revitalizing local economies and empowering local communities, but not necessarily reducing energy use or creating an alternative to the growth orientation of the islands. ",105,"Tsagkari M., Roca J., Kallis G.",0,0,0,"","81",""
"140","141","Economic growth is generally seen as a central economic and political goal. The critique of this view has increased recently. In this context post-growth concepts, such as sustainable degrowth, emerged as an alternative paradigm focusing on ensuring human wellbeing within planetary boundaries. Since business activity is a key driving force behind economic growth, the role of corporate organizations in a transition towards a post-growth society is a particularly challenging question. It is still unclear, for instance, what business models for organizations approaching degrowth could look like. Therefore, our study aims to contribute to understanding guiding principles for organizations approaching degrowth. In this exploratory work, we use a two-step approach: First, based on a systematic literature review, we derive principles for a conceptual framework composed of business-relevant claims in the degrowth discourse in order to assemble and synergize fragmented findings. The resulting conceptual framework serves to describe and assess organizations with respect to their approximation to degrowth. Second, we apply the framework to four organizations certified as B Corps based on qualitative content analysis of interviews with corporate representatives and additional company data. Overall, our findings show that B Corps rather successfully implement numerous degrowth-approaching principles in their organization within our current economic system, while none of the organizations is seen as fully degrowth-conform. With our analysis we uncover significant tensions regarding growth-orientation and identify further needs for empirical and conceptual research. ",141,"Hankammer S., Kleer R., MÃ¼hl L., Euler J.",0,0,0,"Qualitative analysis","300",""
"170","172","Endless economic growth on a finite planet is impossible. This is the premise behind the degrowth movement. Despite this sound rationale, the degrowth movement has struggled to gain political acceptability. We have sought to understand this limited uptake of degrowth discourse in the English-speaking world by interviewing Canadian activists. Activists have a proximity to the political realm - both with its barriers and openings - that scholars working primarily in academic institutions sometimes lack. Our interviews reveal that class interests - particularly those of fossil fuel companies - are a substantial barrier to realizing degrowth goals. Interviewees highlighted the importance of centring class-conscious environmentalism, -anti-purityâ politics, and decolonization as essential parts of a degrowth agenda capable of overcoming these class interests. We conclude by unpacking how the Green New Deal - a discourse and movement that gained considerable traction after we completed our interviews - addresses the obstacles shared by our interviewees, thus making it a promising -non-reformist reformâ for the degrowth movement to pursue. ",172,"OâManique C., Rowe J.K., Shaw K.",0,0,0,"Qualitative analysis","12","2"
