"","vocab_app",""
"1","degrowth","465"
"2","growth","401"
"3","economic","344"
"4","social","289"
"5","economy","226"
"6","society","207"
"7","ecological","192"
"8","environmental","189"
"9","use","174"
"10","base","173"
"11","alternative","165"
"12","sustainable","164"
"13","need","162"
"14","development","159"
"15","argue","156"
"16","political","155"
"17","post","153"
"18","new","149"
"19","approach","147"
"20","article","147"
"21","change","144"
"22","focus","144"
"23","within","141"
"24","movement","140"
"25","policy","138"
"26","system","138"
"27","future","137"
"28","perspective","137"
"29","one","136"
"30","debate","135"
"31","sustainability","135"
"32","challenge","134"
"33","way","132"
"34","global","129"
"35","question","129"
"36","make","128"
"37","present","128"
"38","concept","123"
"39","work","121"
"40","practice","119"
"41","transition","119"
"42","increase","118"
"43","different","116"
"44","resource","116"
"45","towards","116"
"46","current","113"
"47","human","113"
"48","world","111"
"49","production","109"
"50","provide","109"
"51","potential","107"
"52","two","107"
"53","consider","106"
"54","model","104"
"55","strategy","104"
"56","consumption","103"
"57","transformation","103"
"58","first","102"
"59","analysis","101"
"60","take","101"
"61","crisis","100"
"62","point","100"
"63","context","99"
"64","limit","99"
"65","result","99"
"66","show","99"
"67","explore","98"
"68","aim","96"
"69","value","96"
"70","develop","95"
"71","discuss","95"
"72","life","95"
"73","role","95"
"74","address","94"
"75","critical","94"
"76","process","94"
"77","call","93"
"78","idea","92"
"79","propose","92"
"80","community","91"
"81","suggest","90"
"82","case","89"
"83","time","89"
"84","capitalist","88"
"85","socio","88"
"86","energy","87"
"87","form","87"
"88","lead","87"
"89","literature","87"
"90","reduce","85"
"91","framework","84"
"92","level","84"
"93","issue","83"
"94","possible","83"
"95","contribute","82"
"96","become","81"
"97","goal","81"
"98","include","81"
"99","term","81"
"100","market","80"
"101","emerge","79"
"102","offer","79"
"103","theory","79"
"104","good","78"
"105","key","78"
"106","many","78"
"107","support","78"
"108","order","77"
"109","paradigm","77"
"110","country","76"
"111","impact","76"
"112","material","76"
"113","require","75"
"114","three","75"
"115","beyond","74"
"116","identify","73"
"117","project","73"
"118","relation","72"
"119","examine","71"
"120","part","71"
"121","people","71"
"122","principle","71"
"123","exist","70"
"124","green","70"
"125","local","70"
"126","mean","70"
"127","discussion","69"
"128","environment","69"
"129","share","69"
"130","achieve","68"
"131","condition","68"
"132","find","68"
"133","justice","68"
"134","rather","68"
"135","state","68"
"136","contribution","67"
"137","critique","67"
"138","grow","67"
"139","draw","66"
"140","recent","65"
"141","scale","65"
"142","see","65"
"143","capitalism","64"
"144","cultural","64"
"145","economics","64"
"146","problem","64"
"147","urban","64"
"148","agenda","63"
"149","radical","63"
"150","structure","63"
"151","without","63"
"152","discourse","62"
"153","yet","62"
"154","activity","61"
"155","important","61"
"156","politics","61"
"157","solution","61"
"158","around","60"
